,initial Value,Min avg,Delta,Result
1905,36.183,36.21344,0.03043999999999869,Pass
1906,35.7294,35.76765,0.038250000000005,Pass
1772,36.1144,36.12465,0.010249999999999204,Pass
1692,36.0851,36.06319,-0.02190999999999832,Pass
1875,35.7986,35.79994,0.0013399999999990087,Pass
1230,35.9059,35.92253,0.016629999999999256,Pass
1835,35.5054,35.51918,0.013779999999997017,Pass
1797,35.5247,35.57179,0.04708999999999719,Pass
1862,35.6285,35.64944,0.020939999999995962,Pass
1870,35.6223,35.62862,0.006319999999995218,Pass
1780,35.7335,35.77801,0.04451000000000249,Pass
1885,35.7925,35.79195,-0.0005499999999969418,Pass
1839,35.8506,35.877660000000006,0.027060000000005857,Pass
1816,35.906,35.93264,0.02664000000000044,Pass
1809,35.9958,36.05725,0.06145000000000067,Pass
1848,36.0722,36.09148,0.019279999999994857,Pass
1808,36.0969,36.1046,0.007699999999999818,Pass
1883,35.9801,35.97074,-0.009360000000000923,Pass
1899,36.1841,36.19038,0.006279999999996733,Pass
1812,36.171,36.19385,0.02284999999999826,Pass
729,35.7389,35.7712,0.03229999999999933,Pass
1465,36.1704,36.17113,0.0007299999999972329,Pass
1630,35.4894,35.50991,0.020509999999994477,Pass
2759,36.063,36.0844,0.021399999999999864,Pass
2763,36.0774,36.11509,0.037690000000004886,Pass
2855,35.8492,35.87935,0.03014999999999901,Pass
